anio,region,indice,valor,error_estandar
2022,Tarapacá,FGT1_brecha,9.448227643562229,0.8631900783041501
2024,Tarapacá,FGT1_brecha,6.493977590595816,0.4799952461808834
2009,Antofagasta,FGT1_brecha,6.0335063621627345,0.7120959436080632
2011,Antofagasta,FGT1_brecha,5.989020655445644,0.5318425256747488
2013,Antofagasta,FGT1_brecha,4.675346274800902,0.3704159778912063
2015,Antofagasta,FGT1_brecha,5.332466964847235,0.6936554532392779
2017,Antofagasta,FGT1_brecha,5.671059808717003,0.6216152224567271
2020,Antofagasta,FGT1_brecha,10.932825009686189,0.6107458662349362
2022,Antofagasta,FGT1_brecha,6.964568825762251,0.43690608018632016
2024,Antofagasta,FGT1_brecha,5.346720599999168,0.3392116557071132
2009,Atacama,FGT1_brecha,13.679235010423794,1.6371168706695711
2011,Atacama,FGT1_brecha,10.427350963901109,0.6454956673989206
2013,Atacama,FGT1_brecha,6.264675581587498,0.980009602532775
2015,Atacama,FGT1_brecha,6.347575714791541,0.34933190021813487
2017,Atacama,FGT1_brecha,8.005733592270136,0.5523670218801751
2020,Atacama,FGT1_brecha,10.315458905467606,0.6197159929862371
2022,Atacama,FGT1_brecha,7.858517973407676,0.497330151887681
2024,Atacama,FGT1_brecha,6.15282039636401,0.3848479334610922
2009,Coquimbo,FGT1_brecha,15.721208045206861,0.8118624898194059
2011,Coquimbo,FGT1_brecha,13.682516381526815,0.6806925976380895
2013,Coquimbo,FGT1_brecha,9.586295337109876,0.6933253255348414
2015,Coquimbo,FGT1_brecha,9.45591318436151,0.36406748207885226
2017,Coquimbo,FGT1_brecha,10.429402149631255,0.500384228992655
2020,Coquimbo,FGT1_brecha,12.076529731415556,0.7549203669548658
2022,Coquimbo,FGT1_brecha,8.563667109612389,0.44968171010731267
2024,Coquimbo,FGT1_brecha,6.849431323752535,0.3791486310710557
2009,Valparaíso,FGT1_brecha,13.368252339483726,0.6066425007689225
2011,Valparaíso,FGT1_brecha,13.725756087090002,0.7111337001017922
2013,Valparaíso,FGT1_brecha,9.740392108901059,0.5063942812526552
2015,Valparaíso,FGT1_brecha,7.926617224447272,0.3074303743880044
2017,Valparaíso,FGT1_brecha,6.294803654006979,0.2640447890355618
2020,Valparaíso,FGT1_brecha,11.716886948240667,0.4181200372456259
2022,Valparaíso,FGT1_brecha,6.775680986397366,0.2858317159923972
2024,Valparaíso,FGT1_brecha,5.398927856580949,0.2079554552447285
2009,Metropolitana,FGT1_brecha,10.878857569015448,0.3550441038802257
2011,Metropolitana,FGT1_brecha,10.285302660639516,0.42326379220699506
2013,Metropolitana,FGT1_brecha,6.8116547580206825,0.2721670141244944
2015,Metropolitana,FGT1_brecha,5.706355905715112,0.2426407360184548
2017,Metropolitana,FGT1_brecha,5.3756388532377155,0.23377784320124645
2020,Metropolitana,FGT1_brecha,10.150409469371398,0.3339629852498204
2022,Metropolitana,FGT1_brecha,5.225259394960731,0.17142814992606056
2024,Metropolitana,FGT1_brecha,4.0229422720358805,0.13413076496622153
2009,O'Higgins,FGT1_brecha,12.577877983050294,0.6255164706351795
2011,O'Higgins,FGT1_brecha,9.975426362041686,0.7846096057395952
2013,O'Higgins,FGT1_brecha,8.860696498694404,0.5318108409529997
2015,O'Higgins,FGT1_brecha,8.500064767470478,0.4459003008625182
